URL,Owner,Name,Description,Categories,Use Cases,Tags,Last Updated,Downloads,Gated
https://huggingface.co/datasets/Aditya685/hermes_preference_filtered_data,Aditya685,hermes_preference_filtered_data,,Preference Data,"LLM Alignment, Preference Optimization","size_categories:10K<n<100K, format:parquet, modality:text, library:datasets, library:dask, library:mlcroissant, library:polars, region:us",2024-03-14T08:18:13.000Z,9,No
https://huggingface.co/datasets/AlekseyKorshuk/hh-rlhf-pairwise,AlekseyKorshuk,hh-rlhf-pairwise,,"RLHF, Preference Data",LLM Alignment,"size_categories:10K<n<100K, format:parquet, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, region:us",2023-02-08T21:30:13.000Z,13,No
https://huggingface.co/datasets/Asap7772/relabeled_alpacafarm_pythiasft_20K_preference_data,Asap7772,relabeled_alpacafarm_pythiasft_20K_preference_data,,"SFT, Preference Data","LLM Alignment, Preference Optimization","size_categories:10K<n<100K, format:parquet, modality:tabular, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, region:us",2024-01-25T07:37:07.000Z,6,No
https://huggingface.co/datasets/Asap7772/relabeled_alpacafarm_pythiasft_20K_preference_data_maxlength,Asap7772,relabeled_alpacafarm_pythiasft_20K_preference_data_maxlength,,"SFT, Preference Data","LLM Alignment, Preference Optimization","size_categories:10K<n<100K, format:parquet, modality:tabular, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, region:us",2024-01-30T00:47:59.000Z,8,No
https://huggingface.co/datasets/Asap7772/relabeled_alpacafarm_pythiasft_20K_preference_data_minlength,Asap7772,relabeled_alpacafarm_pythiasft_20K_preference_data_minlength,,"SFT, Preference Data","LLM Alignment, Preference Optimization","size_categories:10K<n<100K, format:parquet, modality:tabular, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, region:us",2024-01-30T00:48:20.000Z,15,No
https://huggingface.co/datasets/Asap7772/relabeled_alpacafarm_pythiasft_20K_preference_data_modelength,Asap7772,relabeled_alpacafarm_pythiasft_20K_preference_data_modelength,,"SFT, Preference Data","LLM Alignment, Preference Optimization","size_categories:10K<n<100K, format:parquet, modality:tabular, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, region:us",2024-01-30T00:48:31.000Z,19,No
https://huggingface.co/datasets/AtheerAlgherairy/DST_Multiwoz21_instruction_Tuning,AtheerAlgherairy,DST_Multiwoz21_instruction_Tuning,,"Instruction Tuning, Chat/Conversation","Instruction Following, Chatbot Training","size_categories:10K<n<100K, format:parquet, modality:text, library:datasets, library:dask, library:mlcroissant, library:polars, region:us",2023-10-12T08:58:08.000Z,10,No
https://huggingface.co/datasets/August4293/Self_Alignment_Preference-Dataset,August4293,Self_Alignment_Preference-Dataset,,"Preference Data, Alignment","LLM Alignment, Preference Optimization","task_categories:text-generation, task_categories:question-answering, language:en, size_categories:1K<n<10K, format:parquet, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars",2024-03-18T16:20:03.000Z,34,No
https://huggingface.co/datasets/August4293/tldr-preference-sft-trl-style-sample,August4293,tldr-preference-sft-trl-style-sample,,"SFT, Preference Data","LLM Alignment, Preference Optimization","size_categories:n<1K, format:parquet, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, region:us",2025-01-01T06:01:13.000Z,8,No
https://huggingface.co/datasets/Baidicoot/anthropic-hh-rlhf,Baidicoot,anthropic-hh-rlhf,,"RLHF, Preference Data",LLM Alignment,"size_categories:100K<n<1M, format:parquet, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, region:us",2024-05-10T13:29:40.000Z,88,No
