timestamp,date,task,risk,estimated_tokens,status,engram_available,notes
2026-05-11T19:30:39-03:00,2026-05-11,session-start,low,800,0,0,0,PASS,True,projected_pct=0.67; actual_tracking=False
2026-05-11T19:32:18-03:00,2026-05-11,session-start,low,800,0,0,0,PASS,True,projected_pct=1.33; actual_tracking=False
2026-05-12T17:36:59-03:00,2026-05-12,compact-start,medium,1563,0,0,0,PASS,True,projected_pct=1.3; actual_tracking=False
2026-05-12T17:40:10-03:00,2026-05-12,end-session,medium,1800,0,0,0,PASS,True,projected_pct=2.8; actual_tracking=False
2026-05-12T17:41:13-03:00,2026-05-12,audit,medium,2200,0,0,0,PASS,True,projected_pct=4.64; actual_tracking=False
2026-05-12T18:01:06-03:00,2026-05-12,audit,medium,2200,0,0,0,PASS,True,projected_pct=6.47; actual_tracking=False
2026-05-12T18:02:36-03:00,2026-05-12,end-session,medium,1800,0,0,0,PASS,True,projected_pct=7.97; actual_tracking=False
2026-05-12T18:03:37-03:00,2026-05-12,audit,medium,2200,0,0,0,PASS,True,projected_pct=9.8; actual_tracking=False
2026-05-12T18:18:29-03:00,2026-05-12,end-session,medium,1800,0,0,0,PASS,True,projected_pct=11.3; actual_tracking=False
2026-05-12T18:19:30-03:00,2026-05-12,audit,medium,2200,0,0,0,PASS,True,projected_pct=13.14; actual_tracking=False
2026-05-12T18:26:57-03:00,2026-05-12,end-session,medium,1800,0,0,0,PASS,True,projected_pct=14.64; actual_tracking=False
